City ID,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.feels_like,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain.1h,rain.3h,snow.1h,snow.3h,sys.country,sys.id,sys.sunrise,sys.sunset,sys.type,timezone,visibility,weather,wind.deg,wind.gust,wind.speed
412,stations,20,200,32.7,-16.77,1580090391,2266895,52.84,,72,1026,,57.15,60.8,52.0,Machico,,,,,PT,6894.0,1580112311,1580150039,1.0,0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",330.0,,6.93
413,model,0,200,-26.02,22.4,1580090391,932987,56.01,906.0,31,1016,1016.0,64.49,64.49,64.49,Tsabong,,,,,BW,,1580097665,1580145881,,7200,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",159.0,,9.04
414,stations,75,200,6.88,116.85,1580090391,1736458,93.29,,83,1012,,84.13,84.2,84.0,Kudat,,,,,MY,9375.0,1580077850,1580120352,1.0,28800,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",110.0,,5.82
415,stations,16,200,36.72,15.09,1580090391,6539213,44.76,,93,1020,,47.64,53.01,44.01,Pachino,,,,,IT,6702.0,1580105147,1580141908,1.0,3600,7000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",80.0,,3.36
416,model,9,200,6.54,21.99,1580090391,239899,53.83,943.0,29,1013,1013.0,60.55,60.55,60.55,Bria,,,,,CF,,1580100590,1580143152,,3600,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",24.0,,4.63
417,model,78,200,8.51,-77.28,1580090391,3690572,75.83,972.0,98,1015,1015.0,70.02,70.02,70.02,Acandi,,0.19,,,CO,,1580038174,1580080399,,-18000,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",43.0,,2.71
418,model,99,200,15.9,121.13,1580090392,1716897,83.3,951.0,52,1012,1012.0,81.63,81.63,81.63,Conversion,,,,,PH,,1580077581,1580118567,,28800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",217.0,,4.41
419,stations,56,200,-13.7,-76.22,1580089842,3932145,65.84,,88,1013,,71.6,71.6,71.6,Pisco,,,,,PE,8691.0,1580036072,1580081991,1.0,-18000,8000.0,"[{'id': 711, 'main': 'Smoke', 'description': 'smoke', 'icon': '50n'}]",210.0,,21.92
420,model,100,200,-7.4,36.98,1580090392,153871,73.67,940.0,96,1014,1014.0,69.08,69.08,69.08,Mikumi,,,,,TZ,,1580095859,1580140687,,10800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",323.0,,3.56
421,stations,75,200,7.04,134.26,1580090392,7671223,88.75,,74,1012,,84.2,84.2,84.2,Kloulklubed,,,,,PW,7901.0,1580073685,1580116160,1.0,32400,24140.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",50.0,17.22,10.29
